
Begin Step 0, Time: 0, Systemstep: 0

Begin Step 1, Time: 0.00762939, Systemstep: 0.00762939

Begin Step 2, Time: 0.0152588, Systemstep: 0.00762939

Begin Step 3, Time: 0.0228882, Systemstep: 0.00762939

Begin Step 4, Time: 0.0305176, Systemstep: 0.00762939

Begin Step 5, Time: 0.038147, Systemstep: 0.00762939

Begin Step 6, Time: 0.0457764, Systemstep: 0.00762939

Begin Step 7, Time: 0.0534058, Systemstep: 0.00762939

Begin Step 8, Time: 0.0610352, Systemstep: 0.00762939

Begin Step 9, Time: 0.0686646, Systemstep: 0.00762939

Begin Step 10, Time: 0.0762939, Systemstep: 0.00762939

Begin Step 11, Time: 0.0839233, Systemstep: 0.00762939

Begin Step 12, Time: 0.0915527, Systemstep: 0.00762939

Begin Step 13, Time: 0.0991821, Systemstep: 0.00762939

Begin Step 14, Time: 0.106812, Systemstep: 0.00762939

Begin Step 15, Time: 0.114441, Systemstep: 0.00762939

Begin Step 16, Time: 0.12207, Systemstep: 0.00762939

Begin Step 17, Time: 0.1297, Systemstep: 0.00762939

Begin Step 18, Time: 0.137329, Systemstep: 0.00762939

Begin Step 19, Time: 0.144958, Systemstep: 0.00762939

Begin Step 20, Time: 0.152588, Systemstep: 0.00762939

Begin Step 21, Time: 0.160217, Systemstep: 0.00762939

Begin Step 22, Time: 0.167847, Systemstep: 0.00762939

Begin Step 23, Time: 0.175476, Systemstep: 0.00762939

Begin Step 24, Time: 0.183105, Systemstep: 0.00762939

Begin Step 25, Time: 0.190735, Systemstep: 0.00762939

Begin Step 26, Time: 0.198364, Systemstep: 0.00762939

Begin Step 27, Time: 0.205994, Systemstep: 0.00762939

Begin Step 28, Time: 0.213623, Systemstep: 0.00762939

Begin Step 29, Time: 0.221252, Systemstep: 0.00762939

Begin Step 30, Time: 0.228882, Systemstep: 0.00762939

Begin Step 31, Time: 0.236511, Systemstep: 0.00762939

Begin Step 32, Time: 0.244141, Systemstep: 0.00762939

